	readability
ROUGE-S4-STOP-F1	0.3633300832
ROUGE-S4-STEM-STOP-F1	0.36683974
ROUGE1-STEM-STOP-P	0.4280121191
ROUGE1-STEM-STOP-R	0.0981420796
ROUGE-W-STEM-F1	0.4947876865
ROUGE2-STEM-P	0.3755355252
ROUGE-L-STEM-F1	0.4843252514
RWMD-LEFT-EUCL	0.126956572
ROUGE1-STEM-F1	0.3385778552
ROUGE3-STOP-P	0.2380698365
ROUGE3-STOP-R	0.1623063471
ROUGE4-STOP-P	0.2563680126
ROUGE-SU4-STEM-STOP-F1	0.3812411098
ROUGE4-STOP-R	0.216068572
ROUGE-SU4-P	0.3925858339
ROUGE-SU4-R	0.1794685518
CENT-COS	0.2885084736
ROUGE-S4-F1	0.3440255818
ROUGE2-STOP-F1	0.2945731802
ROUGE-W-STEM-STOP-P	0.5136454059
ROUGE-W-STEM-STOP-R	0.1354193799
ROUGE-S4-STOP-R	0.1865728824
ROUGE-S4-STOP-P	0.4064974911
ROUGE2-STOP-R	0.166761363
ROUGE2-STOP-P	0.326579258
ROUGE-SU4-STEM-STOP-P	0.4270465216
ROUGE-SU4-STEM-STOP-R	0.1970115096
ROUGE2-R	0.1750252451
ROUGE2-P	0.3435925686
ROUGE-SU4-STEM-F1	0.3519738554
ROUGE3-STEM-STOP-R	0.1900460709
ROUGE3-STEM-STOP-P	0.3048483433
ROUGE-L-F1	0.4847831171
ROUGE3-STEM-STOP-F1	0.2812466051
ROUGE3-F1	0.2528381955
ROUGE-L-STEM-STOP-R	0.1074050977
ROUGE-SU4-STOP-F1	0.3782858533
ROUGE-L-STEM-STOP-P	0.505984465
RWMD-LEFT-COS	0.1163656711
ROUGE-S4-R	0.1722377584
ROUGE-S4-P	0.383557404
ROUGE3-STEM-R	0.1934235301
ROUGE3-STEM-P	0.3153416133
RWMD-MAX-EUCL	0.3711242908
RWMD-RIGHT-EUCL	0.4011887483
ROUGE-W-F1	0.4944932052
ROUGE-L-STOP-F1	0.4900388497
ROUGE4-STEM-STOP-P	0.2808261007
ROUGE4-STEM-STOP-R	0.2169946794
ROUGE2-F1	0.316314877
ROUGE4-STEM-R	0.2069778995
ROUGE4-STEM-P	0.2900398317
BLEU	0.408107682
ROUGE-S4-STEM-STOP-R	0.1750564125
ROUGE-S4-STEM-STOP-P	0.4106851587
ROUGE1-STOP-R	0.1040506548
ROUGE1-STOP-P	0.4047212062
ROUGE-L-STEM-P	0.489810248
ROUGE-L-STOP-R	0.1234777672
ROUGE-L-STEM-R	0.0919259805
ROUGE-L-STOP-P	0.5093649689
ROUGE-SU4-STEM-P	0.3934984845
ROUGE-L-STEM-STOP-F1	0.4950332042
ROUGE2-STEM-R	0.1787312474
ROUGE-S4-STEM-F1	0.3437299281
ROUGE-W-P	0.5050596139
ROUGE-W-R	0.1387441672
ROUGE1-STOP-F1	0.3406459816
ROUGE4-F1	0.2438254945
ROUGE1-P	0.3737685813
ROUGE1-F1	0.3143526206
ROUGE-SU4-F1	0.351255071
ROUGE4-STOP-F1	0.2460092155
ROUGE3-STEM-F1	0.2906227806
ROUGE-W-STOP-R	0.1476402711
ROUGE-W-STOP-P	0.5163612972
CENT-EUCL	0.2511462794
ROUGE-SU4-STEM-R	0.1708698703
ROUGE-W-STOP-F1	0.499008674
ROUGE3-STOP-F1	0.2241165361
ROUGE2-STEM-F1	0.3398148082
ROUGE-L-R	0.1029470985
ROUGE-L-P	0.4917419345
RWMD-MAX-COS	0.4071941424
ROUGE3-R	0.1784711603
ROUGE3-P	0.2724419185
ROUGE2-STEM-STOP-F1	0.3317715029
ROUGE-W-STEM-STOP-F1	0.5033800123
ROUGE-SU4-STOP-P	0.4216264503
ROUGE-SU4-STOP-R	0.2085166744
ROUGE4-P	0.259129999
ROUGE4-R	0.1947707729
ROUGE2-STEM-STOP-R	0.1775899957
ROUGE4-STEM-F1	0.2705743274
ROUGE1-STEM-P	0.3931833867
ROUGE1-STEM-R	0.0875289496
ROUGE1-STEM-STOP-F1	0.3638496029
ROUGE-W-STEM-P	0.5036232189
ROUGE-W-STEM-R	0.1294721886
ROUGE-S4-STEM-P	0.383908393
ROUGE1-R	0.089364878
ROUGE-S4-STEM-R	0.1630955183
RWMD-RIGHT-COS	0.4277284458
ROUGE2-STEM-STOP-P	0.3715057749
ROUGE4-STEM-STOP-F1	0.2653767518
singletask-centroids	0.2114965142
multitask-centroids	0.1716441573
singletask-rouge	0.5400567394
multitask-rouge	0.2839208788
