	recall
ROUGE-S4-STOP-F1	0.35870304
ROUGE-S4-STEM-STOP-F1	0.3541953239
ROUGE1-STEM-STOP-P	0.2522818321
ROUGE1-STEM-STOP-R	0.4308184006
ROUGE-W-STEM-F1	0.363269649
ROUGE2-STEM-P	0.2933432753
ROUGE-L-STEM-F1	0.323259531
RWMD-LEFT-EUCL	0.4654948076
ROUGE1-STEM-F1	0.3115472937
ROUGE3-STOP-P	0.2303478473
ROUGE3-STOP-R	0.2807769439
ROUGE4-STOP-P	0.2446750641
ROUGE-SU4-STEM-STOP-F1	0.3630249407
ROUGE4-STOP-R	0.2771897364
ROUGE-SU4-P	0.2702602097
ROUGE-SU4-R	0.4167189558
CENT-COS	0.3708337767
ROUGE-S4-F1	0.3374121921
ROUGE2-STOP-F1	0.312978314
ROUGE-W-STEM-STOP-P	0.2078642077
ROUGE-W-STEM-STOP-R	0.499039978
ROUGE-S4-STOP-R	0.4332879176
ROUGE-S4-STOP-P	0.3010004462
ROUGE2-STOP-R	0.3735096466
ROUGE2-STOP-P	0.2682241991
ROUGE-SU4-STEM-STOP-P	0.2919483091
ROUGE-SU4-STEM-STOP-R	0.4481126017
ROUGE2-R	0.3826700697
ROUGE2-P	0.2604516465
ROUGE-SU4-STEM-F1	0.3397827338
ROUGE3-STEM-STOP-R	0.3715926674
ROUGE3-STEM-STOP-P	0.2963126185
ROUGE-L-F1	0.3296193002
ROUGE3-STEM-STOP-F1	0.3257323042
ROUGE3-F1	0.2915716801
ROUGE-L-STEM-STOP-R	0.4832507347
ROUGE-SU4-STOP-F1	0.3691231777
ROUGE-L-STEM-STOP-P	0.1765904016
RWMD-LEFT-COS	0.4542446844
ROUGE-S4-R	0.4144365874
ROUGE-S4-P	0.2660974287
ROUGE3-STEM-R	0.3937544649
ROUGE3-STEM-P	0.3132781848
RWMD-MAX-EUCL	0.2962659263
RWMD-RIGHT-EUCL	0.2436176636
ROUGE-W-F1	0.3697631046
ROUGE-L-STOP-F1	0.3522947812
ROUGE4-STEM-STOP-P	0.2670441553
ROUGE4-STEM-STOP-R	0.320367356
ROUGE2-F1	0.3209151126
ROUGE4-STEM-R	0.3372319588
ROUGE4-STEM-P	0.2812753303
BLEU	0.3679991015
ROUGE-S4-STEM-STOP-R	0.4387348163
ROUGE-S4-STEM-STOP-P	0.2858979178
ROUGE1-STOP-R	0.3825178747
ROUGE1-STOP-P	0.2312974971
ROUGE-L-STEM-P	0.152148826
ROUGE-L-STOP-R	0.486044085
ROUGE-L-STEM-R	0.4638031813
ROUGE-L-STOP-P	0.1993490478
ROUGE-SU4-STEM-P	0.2597768612
ROUGE-L-STEM-STOP-F1	0.3412903984
ROUGE2-STEM-R	0.4344692943
ROUGE-S4-STEM-F1	0.3357153551
ROUGE-W-P	0.209675859
ROUGE-W-R	0.4871061567
ROUGE1-STOP-F1	0.3096971262
ROUGE4-F1	0.2705296631
ROUGE1-P	0.1598097926
ROUGE1-F1	0.2729198988
ROUGE-SU4-F1	0.3421403742
ROUGE4-STOP-F1	0.2570415715
ROUGE3-STEM-F1	0.3467084271
ROUGE-W-STOP-R	0.5015970578
ROUGE-W-STOP-P	0.2269672945
CENT-EUCL	0.2713896147
ROUGE-SU4-STEM-R	0.4201045551
ROUGE-W-STOP-F1	0.3790869844
ROUGE3-STOP-F1	0.2506682849
ROUGE2-STEM-F1	0.3653557821
ROUGE-L-R	0.4666125526
ROUGE-L-P	0.1636875
RWMD-MAX-COS	0.2946686537
ROUGE3-R	0.3268210383
ROUGE3-P	0.2669112823
ROUGE2-STEM-STOP-F1	0.3687052052
ROUGE-W-STEM-STOP-F1	0.3695340517
ROUGE-SU4-STOP-P	0.3069045723
ROUGE-SU4-STOP-R	0.4438380287
ROUGE4-P	0.2557966277
ROUGE4-R	0.2972730027
ROUGE2-STEM-STOP-R	0.4384777455
ROUGE4-STEM-F1	0.3019587196
ROUGE1-STEM-P	0.1833136097
ROUGE1-STEM-R	0.4152891722
ROUGE1-STEM-STOP-F1	0.3535295856
ROUGE-W-STEM-P	0.1992228948
ROUGE-W-STEM-R	0.4842483208
ROUGE-S4-STEM-P	0.2562002919
ROUGE1-R	0.3734424805
ROUGE-S4-STEM-R	0.4184055711
RWMD-RIGHT-COS	0.2305253913
ROUGE2-STEM-STOP-P	0.309497014
ROUGE4-STEM-STOP-F1	0.2886271772
singletask-centroids	0.187527344
multitask-centroids	0.1173889262
singletask-rouge	0.5250016585
multitask-rouge	0.528917399
