	repetition
ROUGE-S4-STOP-F1	0.1331387668
ROUGE-S4-STEM-STOP-F1	0.13852028
ROUGE1-STEM-STOP-P	0.2715472864
ROUGE1-STEM-STOP-R	-0.0915218692
ROUGE-W-STEM-F1	0.3369166557
ROUGE2-STEM-P	0.1928657145
ROUGE-L-STEM-F1	0.3286496286
RWMD-LEFT-EUCL	-0.0781771694
ROUGE1-STEM-F1	0.1265921285
ROUGE3-STOP-P	0.0436762044
ROUGE3-STOP-R	-0.0510860364
ROUGE4-STOP-P	0.0494357231
ROUGE-SU4-STEM-STOP-F1	0.1554286229
ROUGE4-STOP-R	-0.0074758984
ROUGE-SU4-P	0.1899109888
ROUGE-SU4-R	-0.0659001478
CENT-COS	0.1319917196
ROUGE-S4-F1	0.1110391641
ROUGE2-STOP-F1	0.0825481222
ROUGE-W-STEM-STOP-P	0.4385915541
ROUGE-W-STEM-STOP-R	-0.0781087109
ROUGE-S4-STOP-R	-0.0508650366
ROUGE-S4-STOP-P	0.2048984465
ROUGE2-STOP-R	-0.0513843295
ROUGE2-STOP-P	0.1308076645
ROUGE-SU4-STEM-STOP-P	0.2367718719
ROUGE-SU4-STEM-STOP-R	-0.0418078743
ROUGE2-R	-0.0546077653
ROUGE2-P	0.1572948025
ROUGE-SU4-STEM-F1	0.1222311827
ROUGE3-STEM-STOP-R	-0.0344978466
ROUGE3-STEM-STOP-P	0.1130096952
ROUGE-L-F1	0.318707387
ROUGE3-STEM-STOP-F1	0.0750463929
ROUGE3-F1	0.0330910118
ROUGE-L-STEM-STOP-R	-0.1100403105
ROUGE-SU4-STOP-F1	0.1470637146
ROUGE-L-STEM-STOP-P	0.433732201
RWMD-LEFT-COS	-0.0781505849
ROUGE-S4-R	-0.0714310102
ROUGE-S4-P	0.1828643293
ROUGE3-STEM-R	-0.0382961474
ROUGE3-STEM-P	0.1222270708
RWMD-MAX-EUCL	0.189943778
RWMD-RIGHT-EUCL	0.2578110298
ROUGE-W-F1	0.3247848978
ROUGE-L-STOP-F1	0.3188052542
ROUGE4-STEM-STOP-P	0.0764208951
ROUGE4-STEM-STOP-R	-0.0137121762
ROUGE2-F1	0.0974102096
ROUGE4-STEM-R	-0.0294585806
ROUGE4-STEM-P	0.078773015
BLEU	0.2186884814
ROUGE-S4-STEM-STOP-R	-0.0583776
ROUGE-S4-STEM-STOP-P	0.2164199109
ROUGE1-STOP-R	-0.0930071213
ROUGE1-STOP-P	0.2364281141
ROUGE-L-STEM-P	0.4203554598
ROUGE-L-STOP-R	-0.1055561059
ROUGE-L-STEM-R	-0.1259762094
ROUGE-L-STOP-P	0.4161854166
ROUGE-SU4-STEM-P	0.201764242
ROUGE-L-STEM-STOP-F1	0.3367586867
ROUGE2-STEM-R	-0.0527500943
ROUGE-S4-STEM-F1	0.1155623085
ROUGE-W-P	0.4139036545
ROUGE-W-R	-0.0842585846
ROUGE1-STOP-F1	0.133889144
ROUGE4-F1	0.0252777124
ROUGE1-P	0.2206994445
ROUGE1-F1	0.1054481041
ROUGE-SU4-F1	0.1155712587
ROUGE4-STOP-F1	0.0347298543
ROUGE3-STEM-F1	0.0763501974
ROUGE-W-STOP-R	-0.0775795688
ROUGE-W-STOP-P	0.421324475
CENT-EUCL	0.0739875303
ROUGE-SU4-STEM-R	-0.0698467225
ROUGE-W-STOP-F1	0.3287846637
ROUGE3-STOP-F1	0.0211697148
ROUGE2-STEM-F1	0.1202261306
ROUGE-L-R	-0.1214847781
ROUGE-L-P	0.4098879335
RWMD-MAX-COS	0.2194926824
ROUGE3-R	-0.0523813374
ROUGE3-P	0.0677457547
ROUGE2-STEM-STOP-F1	0.1155070347
ROUGE-W-STEM-STOP-F1	0.3471653974
ROUGE-SU4-STOP-P	0.2220342834
ROUGE-SU4-STOP-R	-0.0359101457
ROUGE4-P	0.0462479459
ROUGE4-R	-0.0331618627
ROUGE2-STEM-STOP-R	-0.048903054
ROUGE4-STEM-F1	0.0492888817
ROUGE1-STEM-P	0.2495565424
ROUGE1-STEM-R	-0.1213809698
ROUGE1-STEM-STOP-F1	0.1535291595
ROUGE-W-STEM-P	0.4252467104
ROUGE-W-STEM-R	-0.0854586474
ROUGE-S4-STEM-P	0.1935780672
ROUGE1-R	-0.1286329428
ROUGE-S4-STEM-R	-0.0770195855
RWMD-RIGHT-COS	0.2766450395
ROUGE2-STEM-STOP-P	0.1851651449
ROUGE4-STEM-STOP-F1	0.0514138165
singletask-centroids	0.2333872315
multitask-centroids	0.1381755883
singletask-rouge	0.5495665856
multitask-rouge	0.0696865791
